utt_id,spk_id,path,duration_sec,gender,text_id,transcript,split
BAC009S0251W0203,S0251,wav/S0251/BAC009S0251W0203.wav,4.3239375,0,W0203,一 是 目前 基金 持有 的 国债 规模,train
BAC009S0251W0468,S0251,wav/S0251/BAC009S0251W0468.wav,5.1948125,0,W0468,事后 该 店 将 十 馀 名 观众 转 厅 或 退票,train
BAC009S0251W0143,S0251,wav/S0251/BAC009S0251W0143.wav,4.3239375,0,W0143,这 也 会 抑制 抑制 其 涨价 冲动,train
BAC009S0251W0240,S0251,wav/S0251/BAC009S0251W0240.wav,6.88,0,W0240,应当 在 境内 外资 产 管理 行业 从业 五年 以上,train
BAC009S0251W0191,S0251,wav/S0251/BAC009S0251W0191.wav,6.97,0,W0191,中国 监证 会 将 继续 对 发行 上市 信息 披露 进行 严格 监管,train
BAC009S0251W0222,S0251,wav/S0251/BAC009S0251W0222.wav,3.667,0,W0222,证监 会 召开 新闻 发布 会,train
BAC009S0251W0182,S0251,wav/S0251/BAC009S0251W0182.wav,5.1539375,0,W0182,开始 鼓励 自 住 及 改善 需求 的 政策 落实,train
BAC009S0251W0470,S0251,wav/S0251/BAC009S0251W0470.wav,5.118875,0,W0470,新京 报 快讯 记者 林野 近日,train
BAC009S0251W0464,S0251,wav/S0251/BAC009S0251W0464.wav,3.198,0,W0464,出现 咳嗽 的有 十 馀 人,val
BAC009S0251W0154,S0251,wav/S0251/BAC009S0251W0154.wav,5.706,0,W0154,但 其 影响 范围 将 更多 地 仅 限于 一二 线 城市,val
BAC009S0251W0239,S0251,wav/S0251/BAC009S0251W0239.wav,6.797,0,W0239,应当 在 境内 外资 产 管理 行业 从业 一年 以上,val
BAC009S0096W0183,S0096,wav/S0096/BAC009S0096W0183.wav,3.875,0,W0183,二线 城市 房价 总体 平稳,train
BAC009S0096W0384,S0096,wav/S0096/BAC009S0096W0384.wav,6.313,0,W0384,随后 进行 的 是 女子 二十五 米 运动 手枪 决赛,train
BAC009S0096W0172,S0096,wav/S0096/BAC009S0096W0172.wav,7.813,0,W0172,新建 商品 住宅 及 二手 住宅 价格 涨幅 远 高于 三线 城市,train
BAC009S0096W0251,S0096,wav/S0096/BAC009S0096W0251.wav,4.4870625,0,W0251,河南 省 将 全面 实施 改革,train
BAC009S0096W0190,S0096,wav/S0096/BAC009S0096W0190.wav,4.0749375,0,W0190,社会 保险 基金 规模 不 断 扩大,train
BAC009S0096W0329,S0096,wav/S0096/BAC009S0096W0329.wav,4.187,0,W0329,执行 大工 业 用电 价格,train
BAC009S0096W0474,S0096,wav/S0096/BAC009S0096W0474.wav,6.056875,0,W0474,上海 崇明 一男 子 试飞 滑翔 机 坠落 鱼塘 身亡,train
BAC009S0096W0264,S0096,wav/S0096/BAC009S0096W0264.wav,5.923,0,W0264,但 至少 这次 微软 让 人 感觉 方向 似乎 对 了,train
BAC009S0096W0313,S0096,wav/S0096/BAC009S0096W0313.wav,6.2270625,0,W0313,提出 了 充电 设施 建设 要 适度 超前 的 要求,val
BAC009S0096W0216,S0096,wav/S0096/BAC009S0096W0216.wav,5.1420625,0,W0216,切实 维护 人民 群众 的 基本 生活 权益,val
BAC009S0096W0218,S0096,wav/S0096/BAC009S0096W0218.wav,5.1740625,0,W0218,请问 您 如何 看待 审计 反映 的有 关 情况,val
BAC009S0160W0343,S0160,wav/S0160/BAC009S0160W0343.wav,3.44675,1,W0343,通过 全民 健身 活动 的 广泛 开展,train
BAC009S0160W0314,S0160,wav/S0160/BAC009S0160W0314.wav,5.937,1,W0314,他 的 主要 工作 就 是 陪同 贾 跃亭 在 海外 市场 寻找 落地 资源,train
BAC009S0160W0122,S0160,wav/S0160/BAC009S0160W0122.wav,4.734,1,W0122,净利 润 为 百分 之 八十 增速 仅 为 百分 之二,train
BAC009S0160W0375,S0160,wav/S0160/BAC009S0160W0375.wav,5.3190625,1,W0375,因此 她们 基本 上将 缺席 二零一五 年 的 所有 重大 比赛,train
BAC009S0160W0249,S0160,wav/S0160/BAC009S0160W0249.wav,4.255,1,W0249,无 力 监管 或 监管 不 到位 的 情况 较 为 普遍,train
BAC009S0160W0448,S0160,wav/S0160/BAC009S0160W0448.wav,5.1960625,1,W0448,云南 九零 后 无证 驾驶 无 牌 车 不 知 自身 已 违法,train
BAC009S0160W0205,S0160,wav/S0160/BAC009S0160W0205.wav,3.6689375,1,W0205,目的 是 弥补 债券 市场 制度 空白,train
BAC009S0160W0271,S0160,wav/S0160/BAC009S0160W0271.wav,3.703,1,W0271,之后 决定 将 三洋 完全 子 公司 化,train
BAC009S0160W0404,S0160,wav/S0160/BAC009S0160W0404.wav,3.678,1,W0404,业已 穿 上一 身 行头 的 蚁 人,val
BAC009S0160W0155,S0160,wav/S0160/BAC009S0160W0155.wav,5.534,1,W0155,另 一方面 报告 期 内 计提 了 存货 跌价 准备,val
