utt_id,spk_id,path,duration_sec,sample_rate,num_channels,text_id,transcript,source_split,gender,role
BAC009S0251W0458,S0251,wav/S0251/BAC009S0251W0458.wav,3.1699375,16000,1,W0458,但 有 胶带 贴 过 的 痕迹,train,0,enroll
BAC009S0251W0349,S0251,wav/S0251/BAC009S0251W0349.wav,4.2749375,16000,1,W0349,胡 丽梅 赛后 接受 采访 时 说,train,0,enroll
BAC009S0251W0248,S0251,wav/S0251/BAC009S0251W0248.wav,7.3630625,16000,1,W0248,可以 分别 参股 二家 基金 公司 其中 控股 不 得超 过 一 家,train,0,enroll
BAC009S0251W0448,S0251,wav/S0251/BAC009S0251W0448.wav,7.3769375,16000,1,W0448,北二 环西 直 门桥 通往 西直 门外 大街 的 匝道 桥 上,train,0,identification_test
BAC009S0251W0491,S0251,wav/S0251/BAC009S0251W0491.wav,5.927,16000,1,W0491,北京 三里 屯 男子 持 刀伤 人 女子 胸部 中 刀 倒地,train,0,identification_test
BAC009S0251W0312,S0251,wav/S0251/BAC009S0251W0312.wav,3.453875,16000,1,W0312,医疗 还 处于 投入 建设 期,train,0,identification_test
BAC009S0251W0151,S0251,wav/S0251/BAC009S0251W0151.wav,5.257,16000,1,W0151,随着 有效 市 销售 市场 的 继续 收窄,train,0,identification_test
BAC009S0251W0463,S0251,wav/S0251/BAC009S0251W0463.wav,3.9919375,16000,1,W0463,之后 陆续 有 人 出现 轻微 咳嗽 现象,train,0,verification_dev
BAC009S0251W0264,S0251,wav/S0251/BAC009S0251W0264.wav,7.578,16000,1,W0264,与 银 银 联合 作 不仅 打通 了 几乎 所有 银行 卡 合作 通道,train,0,verification_dev
BAC009S0251W0433,S0251,wav/S0251/BAC009S0251W0433.wav,4.048125,16000,1,W0433,在 匝道 处 失去 控制 冲 下 桥,train,0,verification_dev
BAC009S0251W0184,S0251,wav/S0251/BAC009S0251W0184.wav,7.709,16000,1,W0184,二零一五 年 房地 产 市场 的 政策 面 显 在 继续 宽松,train,0,verification_test
BAC009S0251W0411,S0251,wav/S0251/BAC009S0251W0411.wav,2.5349375,16000,1,W0411,大张 着 嘴 搞怪,train,0,verification_test
BAC009S0251W0316,S0251,wav/S0251/BAC009S0251W0316.wav,3.115,16000,1,W0316,我们 正在 做 一 个 云平 台,train,0,verification_test
BAC009S0251W0203,S0251,wav/S0251/BAC009S0251W0203.wav,4.3239375,16000,1,W0203,一 是 目前 基金 持有 的 国债 规模,train,0,bonus_train
BAC009S0251W0468,S0251,wav/S0251/BAC009S0251W0468.wav,5.1948125,16000,1,W0468,事后 该 店 将 十 馀 名 观众 转 厅 或 退票,train,0,bonus_train
BAC009S0251W0143,S0251,wav/S0251/BAC009S0251W0143.wav,4.3239375,16000,1,W0143,这 也 会 抑制 抑制 其 涨价 冲动,train,0,bonus_train
BAC009S0251W0240,S0251,wav/S0251/BAC009S0251W0240.wav,6.88,16000,1,W0240,应当 在 境内 外资 产 管理 行业 从业 五年 以上,train,0,bonus_train
BAC009S0251W0191,S0251,wav/S0251/BAC009S0251W0191.wav,6.97,16000,1,W0191,中国 监证 会 将 继续 对 发行 上市 信息 披露 进行 严格 监管,train,0,bonus_train
BAC009S0251W0222,S0251,wav/S0251/BAC009S0251W0222.wav,3.667,16000,1,W0222,证监 会 召开 新闻 发布 会,train,0,bonus_train
BAC009S0251W0182,S0251,wav/S0251/BAC009S0251W0182.wav,5.1539375,16000,1,W0182,开始 鼓励 自 住 及 改善 需求 的 政策 落实,train,0,bonus_train
BAC009S0251W0470,S0251,wav/S0251/BAC009S0251W0470.wav,5.118875,16000,1,W0470,新京 报 快讯 记者 林野 近日,train,0,bonus_train
BAC009S0251W0464,S0251,wav/S0251/BAC009S0251W0464.wav,3.198,16000,1,W0464,出现 咳嗽 的有 十 馀 人,train,0,bonus_val
BAC009S0251W0154,S0251,wav/S0251/BAC009S0251W0154.wav,5.706,16000,1,W0154,但 其 影响 范围 将 更多 地 仅 限于 一二 线 城市,train,0,bonus_val
BAC009S0251W0239,S0251,wav/S0251/BAC009S0251W0239.wav,6.797,16000,1,W0239,应当 在 境内 外资 产 管理 行业 从业 一年 以上,train,0,bonus_val
